886 , 40
989 , 15
990 , 11
1006 , 14
1046 , 33
1066 , 13
1086 , 17
1106 , 1
1126 , 2
1146 , 21
1166 , 18
1186 , Tb19
1206 , 16
1207 , 3
1226 , 28
1266 , 4
1286 , Tv9
1326 , E7b
1406 , 46
1526 , E5
1546 , 32
1547 , E8
1548 , 44
1550 , E1
1551 , E2
1552 , E3
1553 , 5
1556 , 7a
1557 , 7b
1558 , 8
1646 , 32a
1666 , 40a
1686 , 44a
1746 , M30
1886 , 3a
1926 , E4
1928 , E6
1966 , Tv3b
1986 , M35
2006 , M36
2026 , E7
2086 , P3
2106 , P4-d
2126 , P4-a
2146 , P1-d
2166 , P1-a
2186 , P2-d
2206 , P2-s
2207 , P2-a
2226 , Tv6
2246 , 5
2266 , TV5
2306 , Ab33
2326 , 1a
2346 , 2a
2366 , test
2386 , 7
2406 , 9
2426 , 5a
2446 , 5b
2466 , 33b
2486 , E4b
2506 , M44
2526 , LMA
2546 , 13b
2566 , 22
2586 , E33
2606 , M45
2626 , 29
2646 , M43
2666 , 8b
2686 , 6a
2706 , 6b
2726 , 10
2746 , LFA
2766 , M14
2786 , M11
2826 , 13
2846 , 7
2866 , RDCN
2906 , M22
2926 , M22a
2946 , M22b
2966 , M22c
2986 , M22d
